用户ID,订单编号,商品ID,根类别ID,购买数量,时间戳,孩子出生日期,孩子性别,孩子年龄
241837911,20248930866,50011993,28,1,2013-10-20,2012-12-25,女,0.82
83942488,36873348815,50012431,50014815,1,2014-01-14,2010-06-21,男,3.57
83744798,15727837800,50013187,28,1,2013-02-26,2012-08-05,男,0.56
425087423,16986642032,50012442,50008168,1,2014-07-21,2011-11-23,男,2.66
90961714,21415840626,50013711,50008168,1,2013-01-09,2012-02-10,女,0.92
282788237,19023455943,50006030,50022520,1,2013-05-13,2010-12-06,男,2.44
647746339,39486145157,50012474,28,1,2014-11-12,2013-02-07,男,1.76
388415192,8484189532,50016037,28,1,2012-11-21,2009-09-18,男,3.18
191039747,7984139502,50008859,28,1,2014-12-31,2014-07-09,女,0.48
137364326,41879958756,50013636,50008168,1,2014-11-19,2010-11-12,女,4.02
279185110,26285792643,50012361,122650008,1,2013-08-21,2007-08-16,男,6.02
66755460,6237968940,50010555,50008168,1,2014-03-02,2011-03-07,男,2.99
841216238,39168664475,50018831,50014815,1,2014-10-20,2013-05-05,女,1.46
84890647,35673538787,50010558,50008168,1,2014-03-16,2013-02-28,男,1.04
95849627,18777262460,50009542,50014815,1,2013-08-06,2006-12-23,女,6.62
58386865,39897792904,50012464,50014815,1,2015-01-30,2013-03-19,男,1.87
816959238,22706648500,50018854,38,1,2013-05-04,2012-06-21,女,0.87
293128525,17378981300,50012777,50014815,1,2013-03-07,2013-03-06,男,0.0
75613245,37880332798,50006602,50008168,1,2014-03-25,2011-11-22,男,2.34
78613406,17198495783,50012365,122650008,1,2012-12-16,2007-11-04,男,5.12
48419732,4956964934,50018412,50014815,2,2013-05-17,2010-04-09,女,3.11
16265490,9497763160,50006602,50008168,2,2013-04-09,2009-12-09,女,3.33
197411149,41152012097,121452056,50008168,1,2014-11-12,2010-04-29,女,4.54
106735420,19899285873,50018831,50014815,1,2013-10-10,2013-07-09,男,0.25
1020368066,41101540039,50010536,50008168,4,2014-10-04,2010-06-01,男,4.35
143808779,38080383704,251725,28,1,2014-09-08,2010-10-01,男,3.94
72341311,18004159980,121394024,50008168,1,2014-11-09,2014-04-06,女,0.59
1094274418,42132824541,121394024,50008168,1,2014-12-14,2013-08-03,女,1.36
658919521,16394503918,50012245,50014815,1,2014-04-05,2013-10-14,女,0.47
689783888,4534860816,50023722,28,1,2015-01-09,2014-03-04,女,0.85
57613642,25157808743,50006820,28,2,2014-06-24,2013-07-20,女,0.93
21185033,15851569810,50010558,50008168,1,2012-11-05,2006-04-07,男,6.59
40305507,36380970504,50013636,50008168,1,2013-12-13,2011-10-17,男,2.16
732541962,26523564056,50008875,28,1,2013-08-17,2012-12-28,男,0.64
243385,22131823066,50012442,50008168,1,2013-09-02,2011-07-10,女,2.15
10339332,13174075495,50001732,50014815,1,2014-05-26,2011-09-10,女,2.71
22775189,23946808667,50018824,38,1,2014-03-03,2012-04-19,女,1.87
726334191,18989305426,121472022,50008168,1,2014-12-26,2010-02-25,男,4.84
37050995,21297820700,50009542,50014815,1,2013-04-29,2012-10-22,女,0.52
384841734,36809658862,50018436,50014815,1,2014-03-15,2012-08-30,男,1.54
1062425612,14402922681,50014129,28,1,2012-11-18,2012-09-02,女,0.21
1706543412,15719276440,50012451,50008168,2,2013-06-05,2011-01-05,男,2.42
864297971,15679625429,50010557,50008168,1,2014-07-03,2013-03-09,女,1.32
771232308,27226684376,50010558,50008168,1,2013-09-26,2010-04-15,女,3.45
476002223,13405998671,50018831,50014815,1,2013-04-03,2012-08-17,女,0.63
1124076737,14835220006,50013711,50008168,1,2013-03-16,2012-10-13,女,0.42
10405255,10775413892,50228021,50014815,1,2014-12-24,2012-02-14,女,2.86
64093162,43674029889,50010545,50008168,1,2015-01-29,2010-08-16,男,4.46
854553317,41158352472,50015727,50014815,1,2015-02-01,2014-01-19,女,1.04
60392074,41822227906,121452056,50008168,1,2014-11-08,2013-03-21,男,1.64
1069860359,35373986189,50005982,50014815,1,2014-01-01,2013-05-08,女,0.65
125703503,36220244871,50007014,50008168,1,2014-10-28,2012-07-25,女,2.26
725520721,22101231843,50024787,50008168,1,2013-10-21,2011-12-08,男,1.87
857559826,15239002450,50006099,50014815,1,2014-06-07,2013-10-13,女,0.65
34911780,16873424587,50016240,50014815,2,2012-08-13,2010-03-02,男,2.45
1589292035,19745033946,50010544,50008168,1,2014-01-08,2011-06-05,男,2.6
17431245,9757291856,50016116,38,1,2012-11-11,2011-01-15,女,1.82
51598634,12758074281,50013177,28,1,2013-03-07,2011-06-12,女,1.74
734958687,17733994279,50012451,50008168,1,2013-11-11,2012-09-16,男,1.15
474782625,12898343737,50013175,28,1,2014-10-09,2014-07-15,男,0.24
444309931,16025522463,50012365,122650008,1,2013-08-30,2010-08-10,女,3.06
324693962,19416126848,50023457,28,1,2014-08-21,2014-02-19,女,0.5
72555454,12759153835,50009544,50014815,1,2013-01-07,2012-03-02,男,0.85
260092225,20816740935,50010538,50008168,1,2014-01-14,2011-10-05,男,2.28
111621945,37405203875,50010558,50008168,1,2014-04-09,2013-08-09,男,0.67
687066529,38674183111,50013636,50008168,1,2014-06-16,2011-05-11,男,3.1
359601689,16383996535,50018831,50014815,160,2012-11-05,2011-12-15,女,0.89
150795260,36706144350,50013207,50008168,1,2014-02-18,2012-11-21,男,1.24
1133628211,35522172934,50013636,50008168,1,2014-02-18,2012-09-03,女,1.46
479631961,19452723965,50012375,50022520,1,2013-04-30,2011-07-25,女,1.77
277357538,19637551680,50014129,28,1,2013-07-05,2012-06-16,女,1.05
740015689,26605352858,50010558,50008168,1,2013-10-02,2013-09-26,女,0.02
133595268,22373364858,50023790,28,1,2013-04-27,2011-09-19,男,1.61
27213666,19661743129,50013207,50008168,1,2013-06-29,2008-04-13,女,5.21
451100817,12351340442,50012360,122650008,1,2012-09-01,2011-07-24,男,1.11
667774265,39859536457,50012363,122650008,1,2014-12-11,2013-10-10,女,1.17
1045319175,41777738478,50010544,50008168,1,2014-10-29,2011-02-09,男,3.72
89781118,12745894835,50007011,50008168,1,2014-11-14,2013-01-12,男,1.84
2020957900,16310626305,121406041,50014815,2,2014-08-29,2014-04-30,女,0.33
609791410,13447157946,50010555,50008168,1,2014-03-27,2014-02-20,男,0.1
275987542,41284638240,50013187,28,1,2015-01-19,2014-01-03,男,1.04
188600174,41460345919,50016704,50022520,1,2015-01-19,2014-01-21,男,0.99
116573081,22230172158,50008860,28,1,2013-04-22,2012-11-13,女,0.44
867476098,18721720021,50018831,50014815,3,2014-09-23,2013-08-06,女,1.13
78923188,19067790880,50013207,50008168,1,2013-10-01,2002-12-05,女,10.83
800173649,38011223484,50013711,50008168,1,2014-04-29,2013-07-20,女,0.78
41338352,40175289795,50010548,50008168,1,2015-02-05,2008-01-30,女,7.02
783992038,15974069820,50012442,50008168,1,2013-02-01,2008-07-23,男,4.53
1040314082,35408076111,50012365,122650008,1,2013-12-25,2012-04-22,男,1.68
713724745,17534699048,50010557,50008168,1,2013-01-02,2010-04-24,女,2.7
186418698,9921844112,50001748,50014815,1,2014-03-24,2012-01-18,男,2.18
55069180,38554350650,50012363,122650008,1,2015-01-27,2014-08-07,女,0.47
746338356,22783804746,50010236,50014815,1,2013-08-31,2013-08-06,男,0.07
110798294,20393276096,50013187,28,1,2013-04-21,2012-09-23,女,0.58
396311979,38600911631,50013636,50008168,1,2014-05-20,2011-09-26,男,2.65
924007702,14569480798,50013636,50008168,2,2013-03-24,2009-12-24,女,3.25
23208537,12897458131,50013636,50008168,1,2013-01-20,2008-04-16,男,4.77
383735470,20266883067,50009540,50014815,1,2014-08-09,2011-08-19,女,2.98
2214580556,40062433875,50010558,50008168,1,2014-09-28,2012-12-01,男,1.82
130263794,21934484610,50010536,50008168,1,2013-02-23,2010-04-29,女,2.82
354804408,3621425317,211122,38,4,2014-01-08,2013-03-27,女,0.79
805018083,16242741819,50013636,50008168,1,2014-01-08,2012-10-06,男,1.26
72746697,37346822188,121394024,50008168,1,2014-08-17,2014-02-22,男,0.48
545936732,37988424283,50010558,50008168,1,2014-05-06,2006-08-10,女,7.74
77723093,41830139440,50013207,50008168,1,2014-11-10,2013-12-21,女,0.89
75758080,5470994165,121408024,50008168,1,2014-08-29,2012-03-02,女,2.49
95428725,25921288431,251725,28,1,2014-09-09,2012-03-31,女,2.44
755743741,35015569650,50018831,50014815,1,2014-11-10,2014-07-17,女,0.32
183137017,25548712116,50024842,50008168,2,2013-12-12,2007-11-05,女,6.11
32418211,15660287003,50023663,28,1,2012-11-26,2009-09-29,男,3.16
705498556,3595424276,50016704,50022520,1,2012-11-11,2012-10-04,女,0.1
669342381,20398471742,50012474,28,1,2014-02-08,2013-10-18,男,0.31
824413527,37679509075,50018436,50014815,1,2014-04-07,2013-12-01,女,0.35
180473754,42171808031,121452026,28,1,2015-01-07,2013-05-22,女,1.63
355762297,14854905804,50023790,28,3,2013-09-22,2009-09-23,女,4.0
665216877,41725198233,121450022,50008168,1,2014-12-04,2014-02-26,女,0.77
648024036,38493052092,50023670,28,4,2014-12-12,2011-07-30,男,3.37
743394056,40228281930,50012431,50014815,1,2014-10-29,2010-11-25,女,3.93
2757,17429550751,50010555,50008168,1,2013-04-10,2013-03-11,男,0.08
13848376,40827442866,50013636,50008168,1,2014-11-11,2014-08-21,男,0.22
138180945,18706404728,50014863,50014815,5,2014-05-15,2008-09-28,女,5.63
415971,20854308837,50010548,50008168,1,2013-01-28,2012-11-11,女,0.21
44732791,16292306416,50010544,50008168,1,2014-01-14,2011-08-28,女,2.38
121722809,15071189647,50006843,38,2,2015-01-04,2014-06-01,男,0.59
83472357,12555432766,50005982,50014815,1,2013-06-11,2013-01-20,男,0.39
65651861,21971788076,50010558,50008168,1,2013-03-15,2011-11-24,男,1.31
14342858,17894670737,50023598,28,1,2014-11-05,2011-02-07,女,3.75
917524288,10303049467,50012456,50014815,30,2013-05-03,2011-06-24,女,1.86
21838963,16364059790,121470030,50014815,5,2014-06-24,2014-03-10,女,0.29
45661628,14022380103,121456023,50014815,1,2014-10-08,2013-10-15,男,0.98
61127135,18444305120,50008875,28,1,2013-05-23,2012-03-17,男,1.18
785043910,39602511660,121364022,50008168,2,2014-10-03,2013-05-30,女,1.35
628378860,16236503292,50013636,50008168,1,2014-09-25,2012-08-16,女,2.11
1911445233,38373903143,50013711,50008168,2,2014-04-19,2012-04-30,男,1.97
918918455,16294746265,50012379,50022520,1,2013-03-02,2008-10-22,女,4.36
325759617,18770494335,50023651,28,1,2014-03-14,2010-08-12,男,3.59
353221225,36095707144,50012365,122650008,1,2013-12-12,2011-08-13,女,2.33
61079421,18769969047,50014274,50014815,1,2013-08-03,2013-05-01,男,0.26
20451388,17358761118,211122,38,1,2013-03-21,2012-01-29,男,1.14
42558014,22369788243,50010558,50008168,1,2013-03-21,2010-07-04,女,2.72
75200815,18064299870,50018831,50014815,1,2014-09-13,2013-11-14,女,0.83
124527924,9590124906,50013711,50008168,1,2012-10-18,2011-09-30,男,1.05
775584118,2254371483,50018820,38,1,2013-08-16,2012-10-23,女,0.81
78375309,26632468078,50013636,50008168,1,2013-08-16,2013-03-22,男,0.4
13101455,13887162135,50012423,28,1,2012-08-29,2011-08-19,女,1.03
790148926,40018409687,50018436,50014815,1,2014-11-24,2014-08-27,男,0.24
76580427,25481540232,50014274,50014815,1,2013-06-07,2012-03-07,男,1.25
23086954,3219122303,50014273,50014815,1,2013-01-25,2011-10-08,女,1.3
1754594929,13592670420,50018438,50014815,1,2014-09-20,2014-08-26,女,0.07
18190851,17092246580,50014129,28,2,2013-03-31,2011-01-01,女,2.25
1649930323,36491323240,50006602,50008168,1,2014-07-29,2010-10-04,女,3.82
751654337,13224096340,50013636,50008168,1,2013-03-22,2008-09-27,男,4.48
338734269,38898356938,50023663,28,1,2014-08-22,2013-09-26,男,0.9
414883979,18476245692,50012442,50008168,1,2013-06-14,2008-03-27,女,5.22
679878153,17187307783,50013636,50008168,1,2014-08-06,2013-09-27,女,0.86
38061660,19866862313,50010549,50008168,1,2013-11-11,2011-12-03,男,1.94
56663970,8007595536,50016034,28,1,2013-10-25,2009-11-16,男,3.94
1641457379,18721720021,50018831,50014815,1,2014-09-30,2013-12-26,男,0.76
46951908,21763132643,50023536,28,1,2014-08-29,2009-12-17,男,4.7
15786531,40445341453,50010557,50008168,1,2014-08-28,2008-09-22,女,5.93
730302768,14663445988,50006095,28,1,2012-09-23,2011-03-30,男,1.49
174880005,43530317698,50010566,50008168,1,2015-02-03,2007-09-10,女,7.41
393380275,25185692215,50006602,50008168,1,2014-07-29,2010-02-09,女,4.47
882909923,36344284817,50010558,50008168,1,2014-01-04,2012-05-16,男,1.64
132357204,3331637994,50012777,50014815,1,2013-09-07,2011-11-25,男,1.79
659749250,12929573479,50006843,38,1,2013-08-15,2012-10-15,女,0.83
264008927,36480276601,50010557,50008168,1,2014-12-12,2012-03-25,女,2.72
66569606,13668555620,50006602,50008168,1,2014-12-12,2012-01-23,男,2.89
86828233,19444551906,121364022,50008168,1,2014-05-31,2008-01-21,女,6.36
270377458,7279461500,50010566,50008168,1,2012-09-13,2012-04-02,女,0.45
125840215,19829152567,50003700,28,1,2013-11-02,2011-05-02,女,2.51
889878950,41352889142,50010558,50008168,1,2014-10-14,2013-09-01,女,1.12
113554421,18263602472,50018831,50014815,12,2013-05-14,2010-09-09,女,2.68
290360210,13716364917,50015727,50014815,1,2013-12-12,2013-10-29,女,0.12
530044678,14682882892,50013711,50008168,1,2013-04-17,2008-01-01,女,5.3
550066806,16726290116,50006602,50008168,1,2014-01-03,2013-11-01,男,0.17
593315800,35591558752,50010566,50008168,1,2013-11-11,2012-09-23,男,1.13
276632530,39142982662,50006028,50022520,1,2014-12-15,2012-07-16,男,2.42
47138383,13272130226,50018831,50014815,2,2013-02-18,2010-12-21,女,2.16
488469409,22458135479,50012432,50014815,1,2014-09-04,2014-08-09,男,0.07
2298687186,42483180297,50013636,50008168,1,2015-01-28,2012-10-09,男,2.3
52404311,13061238376,50013636,50008168,1,2014-12-15,2010-09-24,男,4.23
430319227,9807202789,50013874,28,1,2012-08-24,2011-06-15,女,1.19
929425316,39639604734,121426038,50014815,1,2015-01-26,2011-09-12,女,3.38
642755513,25469708168,50007011,50008168,1,2014-03-20,2013-10-26,女,0.4
163555902,18350255057,50010544,50008168,1,2013-01-03,2009-05-02,男,3.68
31235454,16674140540,50013207,50008168,1,2014-10-07,2011-03-19,女,3.56
253581310,20005753685,50011993,28,1,2014-05-18,2014-04-11,女,0.1
829213583,20326213051,50013636,50008168,1,2014-12-22,2013-11-10,女,1.12
58199199,16436704905,211122,38,4,2012-10-16,2011-07-02,女,1.29
24829944,15098657498,50011819,50022520,2,2014-09-20,2014-08-26,男,0.07
167910527,16440368756,50010555,50008168,1,2013-03-12,2012-11-21,女,0.3
809862801,36251688391,50012475,28,1,2014-02-16,2014-01-21,男,0.07
119127104,20999672795,50006602,50008168,1,2012-11-14,2011-08-20,男,1.24
1844317769,2755199070,121434042,50014815,1,2014-11-25,2014-06-26,女,0.42
93083084,18645721965,50013715,50014815,1,2015-01-06,2013-12-11,女,1.07
363147332,41773696267,50010542,50008168,1,2014-11-02,2009-01-29,男,5.76
294750833,38832277434,50005979,50022520,1,2014-11-11,2013-07-30,男,1.28
248962105,36448316530,50013636,50008168,1,2014-05-21,2013-07-26,女,0.82
41643429,12715037736,50024627,28,1,2014-10-10,2014-03-22,男,0.55
1050126413,37983949722,50018831,50014815,1,2014-11-11,2014-05-18,女,0.48
300931383,37653352823,50010558,50008168,1,2014-03-26,2013-12-19,女,0.27
816914951,18803570968,121382040,28,1,2014-12-12,2014-09-28,女,0.21
785311611,42426146535,50011993,28,1,2015-01-20,2012-10-03,女,2.3
264579453,14016642158,121540027,28,2,2014-11-26,2014-05-12,女,0.54
269267507,15263653132,50013207,50008168,1,2013-02-16,2012-11-20,男,0.24
185178295,40129281930,50003700,28,1,2014-08-19,2014-08-13,男,0.02
1692582408,41266340079,50010558,50008168,1,2014-12-13,2012-07-12,女,2.42
68067107,25909536641,50018820,38,1,2013-09-14,2012-11-14,男,0.83
1887892514,35459913094,50023670,28,1,2013-11-11,2009-12-10,女,3.92
37273026,5450218363,50018854,38,6,2013-11-05,2012-02-12,男,1.73
195510961,41079030632,121394024,50008168,1,2014-10-29,2012-01-16,男,2.79
47836546,17877876267,50010565,50008168,2,2013-11-12,2012-09-01,女,1.2
48621253,18752150065,50013207,50008168,1,2013-06-12,2013-01-25,男,0.38
398312015,19641593301,50013176,28,1,2014-08-05,2014-06-23,男,0.12
150404943,21726207611,50012365,122650008,1,2013-08-10,2005-06-18,女,8.15
267910347,17458282059,50012424,28,1,2014-12-14,2007-11-21,女,7.07
438010029,23648236275,50012364,122650008,1,2013-05-04,2012-08-07,男,0.74
150330797,13130520515,50012431,50014815,1,2013-08-25,2012-04-04,女,1.39
64343163,26101924419,50012451,50008168,1,2013-07-05,2010-01-23,男,3.45
44716356,36207455567,50012474,28,1,2014-04-27,2013-02-11,女,1.21
614946692,41106352035,50010555,50008168,1,2014-09-11,2014-06-11,男,0.25
47737028,24624676830,50012471,50014815,2,2014-10-25,2012-03-20,男,2.6
108344071,7803405251,50006602,50008168,1,2013-08-12,2010-07-04,男,3.11
1017818160,9305940795,50013881,28,5,2013-11-30,2011-10-20,女,2.12
198339735,36717475719,50015146,28,1,2014-06-28,2011-01-28,女,3.42
32950783,18536773341,50232021,50014815,1,2013-11-08,2013-10-25,女,0.04
61526102,41324909102,50012365,122650008,1,2015-01-30,2011-05-23,女,3.69
92116962,14767143572,50014272,50014815,2,2012-10-10,2012-05-26,男,0.38
86967455,40051583236,50013636,50008168,1,2014-09-23,2007-08-05,女,7.14
199354107,40204309209,50013207,50008168,1,2014-09-09,2010-03-10,男,4.5
576767101,37755146599,50010558,50008168,1,2014-04-05,2013-06-01,男,0.84
350099492,37022012656,50008875,28,1,2014-07-11,2008-06-22,女,6.05
210263456,41464527333,50010544,50008168,1,2014-12-05,2012-09-07,女,2.24
220079966,36169271442,50011993,28,1,2013-11-22,2010-08-08,女,3.29
22602471,37335072772,50016102,28,1,2015-01-01,2009-06-01,男,5.59
21887268,35498150675,50006602,50008168,2,2013-12-16,2010-05-26,女,3.56
1635059595,20012148622,50013636,50008168,1,2014-04-17,2007-09-19,男,6.58
743631006,13841405997,50007011,50008168,1,2013-03-28,2013-02-24,男,0.09
348109281,13374569905,50013636,50008168,1,2012-12-06,2010-02-08,男,2.83
664236959,16563307133,121454045,38,3,2014-10-07,2012-07-26,女,2.2
111794341,19678488904,50010557,50008168,1,2013-01-23,2010-09-02,男,2.39
127931487,16522031119,50013711,50008168,1,2012-08-03,2012-07-03,女,0.08
437556506,35158409536,50013636,50008168,1,2013-12-26,2011-09-28,女,2.25
674478679,40624526192,50009540,50014815,1,2014-12-14,2014-02-01,男,0.87
378028878,19285625410,50146022,50008168,1,2013-12-07,2012-02-08,女,1.83
44253932,19862187842,121404037,28,1,2014-05-29,2010-01-13,男,4.38
1091263211,16409261679,50012363,122650008,1,2013-12-12,2013-04-13,女,0.67
11768880,19025967309,50012364,122650008,1,2013-04-11,2012-01-07,男,1.26
84725909,9140692042,50013199,28,1,2013-01-16,2009-09-18,女,3.33
321506990,27619548992,50018831,50014815,1,2014-04-02,2013-02-13,女,1.13
766386444,19978814543,50013176,28,1,2014-08-12,2014-01-15,女,0.57
1944471144,37068018309,50018820,38,1,2014-05-07,2013-08-19,男,0.72
378871709,43400739385,50012359,122650008,1,2015-02-01,2012-02-23,男,2.94
685810741,35778363795,50016704,50022520,1,2014-01-11,2013-03-22,男,0.81
735319921,16851632381,50015841,28,1,2013-03-10,2012-10-01,男,0.44
136517419,4869579038,50012777,50014815,1,2014-06-17,2012-07-12,男,1.93
40183850,20975155801,50018614,38,5,2013-11-08,2012-06-11,男,1.41
49997797,14757094773,50011993,28,1,2013-12-15,2009-08-16,男,4.33
88718614,10028025233,50013207,50008168,1,2013-02-27,2009-10-10,男,3.39
71241931,25928316853,50015146,28,1,2014-06-09,2011-08-31,男,2.78
1567601,12465395269,50016704,50022520,1,2012-07-18,2012-07-07,女,0.03
62789705,18471814723,50010236,50014815,1,2014-03-08,2013-11-11,女,0.32
486503874,16025509834,211122,38,1,2013-07-20,2012-09-10,男,0.86
129972565,20758892871,50011993,28,1,2012-12-20,2011-01-22,女,1.91
652992315,38307835540,50010544,50008168,1,2014-11-11,2008-12-31,女,5.87
1924473311,20803900387,50006032,50022520,1,2014-08-15,2014-04-16,女,0.33
73927336,38023071537,50010536,50008168,1,2014-04-06,2011-10-15,男,2.48
2186831536,38380559230,50023531,28,1,2014-10-08,2014-05-19,男,0.39
130211481,38840988377,121466023,50008168,2,2014-07-03,2008-12-09,女,5.57
10502300,13447157946,50010555,50008168,1,2012-12-04,2012-05-04,女,0.59
723449270,15455377491,50011993,28,1,2014-06-02,2010-10-03,女,3.67
682354444,22424383310,50018831,50014815,1,2014-12-01,2014-06-05,男,0.49
737930496,40405521372,50012431,50014815,1,2014-08-29,2014-05-15,男,0.29
1711109878,22996052320,50013636,50008168,1,2015-01-15,2012-08-23,女,2.4
921137911,14081707736,50014278,50014815,1,2014-07-14,2014-07-14,男,0.0
224653845,21199179062,50012451,50008168,1,2013-09-22,2011-11-14,男,1.86
829440261,41878489605,50018831,50014815,2,2014-12-02,2013-12-18,女,0.96
1978481429,37359277254,121434042,50014815,1,2014-07-04,2013-08-29,男,0.85
674451014,15172512114,50014250,28,2,2014-01-10,2011-01-15,女,2.99
602646492,41909727679,50009550,50014815,1,2014-12-12,2013-07-12,男,1.42
280347691,14459780250,50016704,50022520,1,2013-06-15,2013-04-06,女,0.19
870525985,37163034185,50018831,50014815,1,2014-10-05,2014-09-03,女,0.09
330830,37313685773,50006602,50008168,6,2014-11-05,2009-10-07,女,5.08
55867871,38258666401,50010558,50008168,1,2014-04-30,2012-06-23,男,1.85
12631429,7668402786,50012471,50014815,1,2014-07-07,2013-04-08,男,1.25
750833184,37665648092,50010557,50008168,1,2014-04-23,2010-11-04,女,3.47
62380766,14836460759,50014129,28,1,2012-12-05,2012-03-13,男,0.73
37613228,22205176670,50018831,50014815,1,2013-10-12,2012-03-21,女,1.56
1023634940,16297650924,50146022,50008168,1,2013-03-04,2011-12-28,女,1.18
23779676,35815090306,50012451,50008168,1,2013-11-11,2010-01-09,男,3.84
2176939646,37616480055,50012458,50014815,1,2014-11-11,2014-01-10,男,0.84
672166297,15781119704,50012360,122650008,1,2013-12-03,2013-10-24,男,0.11
53224585,25781688035,50009542,50014815,1,2013-06-21,2011-06-03,女,2.05
43241697,19671833975,50012367,122650008,1,2014-02-13,2012-05-12,女,1.76
898630655,38066384082,50010558,50008168,9,2014-06-06,2012-11-02,男,1.59
1771335722,37777584394,50012367,122650008,1,2014-03-21,2012-08-08,男,1.62
191994688,18824675650,50012788,28,1,2014-07-15,2013-03-19,男,1.32
783771062,18753199528,50012485,50014815,1,2014-04-11,2012-10-05,女,1.52
709021222,41601299670,50010566,50008168,1,2014-12-10,2012-11-01,男,2.11
509990590,14995199480,50012548,50014815,1,2014-06-02,2014-04-04,男,0.16
53538638,39574997596,121408024,50008168,1,2014-09-09,2013-11-06,男,0.84
358097309,35594492739,50007140,28,1,2015-01-21,2013-09-15,男,1.35
925964568,37303254540,121424027,50008168,1,2014-05-19,2009-03-30,男,5.14
113093326,16192594477,50006094,28,1,2013-05-27,2012-11-26,男,0.5
264839494,12633743728,50013207,50008168,1,2013-09-07,2007-07-29,女,6.12
728844788,16908779573,121394024,50008168,1,2014-10-15,2014-05-27,女,0.39
1671080225,18695694565,50010555,50008168,1,2014-04-28,2014-03-09,女,0.14
53917099,35857424331,50012451,50008168,1,2013-11-13,2011-09-21,女,2.15
155835737,40249904427,50012431,50014815,1,2014-09-27,2014-06-15,男,0.28
1089343761,41449997544,50013636,50008168,1,2014-10-09,2013-12-05,女,0.84
129162752,12757496000,50010566,50008168,1,2013-05-22,2010-11-13,女,2.52
139491685,35103787688,50023722,28,1,2013-10-31,2012-05-03,男,1.5
2391404843,40200591008,50010555,50008168,1,2015-01-10,2014-09-16,男,0.32
134536342,18519472878,50018831,50014815,1,2012-09-12,2012-05-21,女,0.31
332182758,14281728685,50006032,50022520,1,2012-12-21,2012-07-14,男,0.44
316263477,20742820532,211122,38,1,2012-11-11,2011-07-17,男,1.32
883771195,3720949076,211122,38,2,2013-08-20,2012-07-11,男,1.11
105361095,17973523949,50018831,50014815,1,2013-01-28,2013-01-16,男,0.03
71726532,38898923007,121466023,50008168,1,2014-07-09,2011-05-15,女,3.15
59265016,22117023208,50018831,50014815,6,2013-12-26,2013-02-15,男,0.86
51103674,20437260826,50007140,28,1,2013-05-01,2011-08-17,女,1.71
552289829,20724224674,211122,38,9,2013-03-03,2008-12-23,女,4.19
52313002,38501683669,50016468,50008168,4,2014-06-24,2006-04-15,女,8.2
56819773,19254982267,50010558,50008168,1,2013-09-05,2008-08-12,男,5.07
56340436,15578534539,50023640,28,1,2013-01-23,2008-01-06,男,5.05
1890948217,40622218547,121394024,50008168,1,2014-09-18,2013-09-17,女,1.0
371646807,40340954604,50010555,50008168,1,2014-12-27,2014-09-15,男,0.28
1132472679,35324195853,50018831,50014815,1,2015-01-31,2014-10-30,女,0.25
648783804,35109818370,50006602,50008168,1,2013-10-15,2007-06-09,女,6.36
141595593,16902388198,50016243,28,1,2014-04-25,2008-12-22,女,5.34
175524797,36260979423,50023531,28,1,2014-02-24,2009-05-16,女,4.78
356049284,9875230962,50008875,28,1,2014-05-06,2009-07-15,女,4.81
104211743,36115296871,50018824,38,2,2013-12-04,2013-02-19,女,0.79
381275366,35049183686,50014744,50014815,1,2013-11-11,2013-07-09,女,0.34
643563115,40568847479,50010549,50008168,1,2014-12-12,2011-08-08,男,3.35
54366478,25194340028,50023531,28,1,2015-01-23,2010-12-10,男,4.12
128693368,16317457631,50006602,50008168,1,2013-07-20,2010-07-20,女,3.0
22733878,27158088929,50023591,50022520,1,2013-12-23,2009-01-16,男,4.94
54451652,19556758674,50006602,50008168,1,2014-12-30,2010-06-02,女,4.58
549274183,37038024448,50018831,50014815,1,2014-12-09,2012-09-28,女,2.2
94472106,20550040389,50013711,50008168,1,2012-12-24,2009-11-05,女,3.14
259538915,19545202238,50018825,38,40,2014-02-18,2012-04-23,女,1.82
85189793,21168240511,50013207,50008168,1,2012-11-28,2009-03-13,男,3.72
1593516816,25170396249,50023660,28,1,2013-05-25,2009-06-18,男,3.94
571159301,40021926193,50014278,50014815,1,2014-08-22,2011-07-20,男,3.09
651493549,36506672264,50023692,28,1,2014-02-21,2011-11-08,男,2.29
606918860,10837123744,50018855,38,1,2013-06-23,2012-06-27,女,0.99
644854097,35461440284,50018831,50014815,1,2014-06-17,2014-03-18,女,0.25
36789289,17884536890,50016704,50022520,1,2013-12-30,2013-06-11,女,0.55
82413736,19047913391,50023661,28,1,2014-07-27,2011-09-20,女,2.85
156942952,37715622717,121414042,50022520,1,2014-06-14,2013-12-27,女,0.46
98425070,40430138951,50007011,50008168,1,2014-12-12,2014-01-27,男,0.87
422641140,16012394220,50007140,28,1,2012-09-27,2012-08-20,男,0.1
168252385,36374695899,50007011,50008168,1,2014-01-21,2013-01-27,男,0.98
73973378,26396504540,50013078,28,1,2014-01-21,2012-04-04,女,1.8
260087412,37438845897,50018831,50014815,1,2014-04-11,2013-03-09,女,1.09
292966044,16981151324,50010549,50008168,1,2012-11-11,2010-09-16,男,2.16
787693926,16224279134,50013207,50008168,1,2013-03-31,2008-12-26,男,4.26
67828543,14922603690,121448025,50008168,1,2014-09-16,2012-12-27,男,1.72
33062883,37219507191,50013207,50008168,1,2014-05-09,2010-08-14,男,3.74
287230352,36551323123,50023670,28,1,2014-02-11,2009-03-16,男,4.91
